U17;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
900001;Minister of Security;Chokkanatha Poobalarayar;33;SC;Silent Lawyer;Very High;M529001;X
900002;Head of State;Dayalan Udavar;33;FA;Weary Stiffneck;NA;M529002;X
900003;Head of Government;Dayalan Udavar;33;FA;Political Protege;NA;M529002;X
900004;Foreign Minister;Maran Malayaman;33;FA;Biased Intellectual;Very High;M529004;X
900005;Minister of Armament;Udumban Adigaman;33;FA;Resource Industrialist;Very High;M529005;X
900006;Minister of Security;Gnani Thondaiman;33;FA;Crime Fighter;Very High;M542017;X
900007;Head of Military Intelligence;Balan Lebbai;33;FA;Political Specialist;Very High;M529014;X
900008;Chief of Staff;Kabilan Ambalakarar;33;FA;School of Mass Combat;Very High;M529007;X
900009;Chief of Army;Kabilan Ambalakarar;33;FA;Elastic Defence Doctrine;Very High;M529007;X
900010;Chief of Navy;Tarun Anand;33;FA;Indirect Approach Doctrine;High;M529009;X
900011;Chief of Air Force;Andaka Muthanna;33;FA;Vertical Envelopment Doctrine;High;M529010;X
900012;Head of State;Balan Lebbai;33;FA;Ruthless Powermonger;NA;M529014;X
900013;Head of Government;Ori Nadar;33;SC;Ambitious Union Boss;NA;M529022;X
900014;Head of Government;Oviyan Vishwakarma;33;SC;Happy Amateur;NA;M529032;X
900015;Head of Government;Dayalan Udavar;33;FA;Political Protege;NA;M529002;X
900016;Head of Government;Uthaman Thevar;33;SC;Corporate Suit;NA;L24059;X
900017;Head of Government;Balan Lebbai;33;FA;Backroom Backstabber;NA;M529014;X
900018;Foreign Minister;Ori Nadar;33;SC;Great Compromiser;Very High;M529022;X
900019;Foreign Minister;Durai Vel Rowther;33;SC;Ideological Crusader;Very High;M529070;X
900020;Foreign Minister;Chokkanatha Poobalarayar;33;SC;Ideological Crusader;Very High;M529001;X
900021;Foreign Minister;Muthu Iyer;33;SC;General Staffer;Very High;M528002;X
900022;Foreign Minister;Mani Mudaliar;33;FA;Biased Intellectual;Very High;M528003;X
900023;Foreign Minister;Balan Lebbai;33;FA;Ideological Crusader;Very High;M529014;X
900024;Minister of Armament;Pachai Pillai;33;SC;Administrative Genius;Very High;M528005;X
900025;Minister of Armament;Muthu Naicker;33;SC;Resource Industrialist;Very High;M528008;X
900026;Minister of Armament;Ori Nadar;33;SC;Resource Industrialist;Very High;M529022;X
900027;Minister of Armament;Mani Mudaliar;33;FA;Resource Industrialist;Very High;M528003;X
900028;Minister of Security;Selvan Maraikayar;33;SC;Compassionate Gentleman;Very High;M528020;X
900029;Minister of Security;Muthu Iyer;33;SC;Prince of Terror;Very High;M528002;X
900030;Minister of Security;Valan Kudumban;33;SC;Crime Fighter;Very High;M528076;X
900031;Minister of Security;Balan Lebbai;33;FA;Prince of Terror;Very High;M529014;X
900032;Head of Military Intelligence;Valan Kudumban;33;SC;Logistics Specialist;Very High;M528076;X
900033;Head of Military Intelligence;Muthu Iyer;33;SC;Logistics Specialist;Very High;M528002;X
900034;Head of Military Intelligence;Vetri Kuyavar;33;SC;Political Specialist;Very High;M541030;X
900035;Head of Military Intelligence;Karkodan Vellalar;33;SC;Technical Specialist;Very High;M540004;X
900036;Chief of Army;Alagiri Moopanar;33;SC;Static Defence Doctrine;Very High;M529008;X
900037;Chief of Army;Muthu Iyer;33;SC;Armoured Spearhead Doctrine;Very High;M528002;X
900038;Minister of Armament;Guy Iyengar;33;SC;Theoretical Scientist;Very High;M540026;X
900039;Minister of Armament;Alagiri Gounder;33;SC;Infantry Proponent;Very High;M541028;X
900040;Minister of Armament;Thayalan Chettiar;33;SC;Military Entrepreneur;Very High;M542026;X
900041;Head of State;Thennan III;33;SC;Benevolent Gentleman;Very High;L24116;X
900042;Head of State;Nambi II;33;SC;Benevolent Gentleman;Very High;M542009;X
900043;Head of State;Yaalmani VI;33;SC;Autocratic Charmer;High;M541007;X
900044;Minister of Armament;Elil Achari;33;SC;Military Entrepreneur;High;M541036;X
900045;Minister of Armament;Iniyan Mudaliar;33;SC;Resource Industrialist;Very High;M541038;X
900046;Minister of Armament;Elil Achari;33;SC;Infantry Proponent;High;M541036;X
900047;Minister of Security;Karkodan Vellalar;33;SC;Silent Lawyer;Very High;M540004;X
