U12;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
845001;Head of State;Arthur Greisner;34;NS;Powerhungry Demagogue;Very High;3388;X
845002;Head of Government;Arthur Greisner;34;NS;Silent Workhorse;Very High;3388;X
845003;Foreign Minister;Arthur Greisner;34;NS;Biased Intellectual;Very High;3388;X
845004;Minister of Armament;Julius Hoppenrath;34;FA;Laissez-Faire Capitalist;High;3389;X
845005;Minister of Security;Willibald Wiercinski-Keiser;1933;1964;SC;Silent Lawyer;High;3390;X
845006;Head of Military Intelligence;Arthur Greiser;34;NS;Dismal Enigma;High;3388;X
845007;Chief of Staff;Arthur Greiser;34;NS;School of Manoeuvre;High;3388;X
845008;Chief of Army;Arthur Greiser;34;NS;Elastic Defence Doctrine;High;3388;X
845009;Chief of Navy;Johan A. Nederbragt;34;SC;Open Seas Doctrine;High;3391;X
845010;Chief of Air Force;Arthur Greiser;34;NS;Army Aviation Doctrine;High;3388;X
