U00;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
102001;Head of Government;Benito Mussolini;37;ST;Imperialist buffoon;High;M3002;x
102002;Minister of Armament;Benito Mussolini;37;ST;Resource Industrialist;Very High;M3002;x
102003;Minister of Security;Benito Mussolini;36;ST;Media magnate;Very High;M3002;x
102044;Head of State;Giorgis Siantos;36;LE;Insignificant Layman;High;M18021;x
102045;Head of State;Nikos Zahariadis;45;LE;Autocratic Charmer;High;M18022;x
102046;Chief of Navy;Militiades Porphyrogins;36;ST;Decisive Naval Battle Doctrine;High;M18029;x
102047;Chief of Army;Aris Velouchiotis;36;ST;Decisive Battle Doctrine;High;M18028;x
102048;Chief of Staff;Stephanos Sarafis;36;ST;School of Mass Combat;High;M18027;x
102049;Head of Military Intelligence;Giannes Ioannides;36;LE;Political Specialist;High;M18025;x
102050;Head of Military Intelligence;Evripidis Bakirtris;36;LWR;Industrial Specialist;High;M18065;x
102051;Minister of Security;Giannes Ioannides;36;LE;Silent Lawyer;High;M18025;x
102052;Minister of Armament;Giorgis Siantos;36;ST;Resource Industrialist;High;M18021;x
102053;Chief of Air Force;Nikos Beloyannis;36;LE;Naval Aviation Doctrine;High;M18030;x
102083;Foreign Minister;Nikos Zahariadis;36;LE;Great Compromiser;Very High;M18022;x
102084;Foreign Minister;Militiades Porphyrogins;36;ST;General Staffer;Very High;M18029;x
102063;Head of Government;Militiades Porphyrogins;36;LE;Ambitious Union Boss;High;M18029;x
102064;Head of Government;Nikos Zahariadis;45;LE;Smiling Oilman;High;M18022;x
102065;Head of Government;Evripidis Bakirtris;36;LWR;Happy Amateur;High;M18065;x
102066;Head of Government;Markos Vaphiadis;46;ST;Backroom Backstabber;High;M18066;x
102085;Foreign Minister;Petros Rousos;47;ST;Biased Intellectual;Very High;M18085;x
102130;Minister of Security;Markos Vaphiadis;41;ST;Silent Lawyer;High;M18066;x
102131;Minister of Security;Stratos Payioumtzis;36;ST;Efficient Sociopath;Medium;M18131;x
102132;Head of Military Intelligence;Palmiro Togliatti;36;ST;Technical Specialist;High;M3021;x
102133;Head of Military Intelligence;Guiseppe di Vittorio;36;ST;Political Specialist;High;M3120;x
102134;Head of State;Palmiro Togliatti;37;ST;radical demagogue;High;M3021;x
102135;Minister of Security;Ferruccio Parri;47;SL;Man of the People;High;M3049;x
102136;Minister of Security;Ivanoe Bonomi;45;SL;Efficient Sociopath;High;M3048;x
102137;Minister of Security;Salvatore Aldisio;44;SL;Prince of Terror;High;M3102;x
102138;Minister of Armament;G. Barone Paulucci di Calboli;47;SL;laissez-faire capitalist;High;M3086;x
102139;Minister of Armament;Vittorio Vidali;36;LE;Infantry Proponent;High;M3087;x
102140;Minister of Armament;Giovanni Ciraolo;44;SL;Administrative Genius;High;M3084;x
102141;Minister of Armament;Luigi Einaudi;45;SL;Strategic Air Proponent;High;M3085;x
