U00;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3700;Hellenic Naval Shipyards;T3700;4;1930;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3701;Khalkeus Factory Design Bureau;T3701;5;1930;1970;artillery;mechanics;general_equipment;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3702;Charkov Factory Design Bureau;T3702;7;1930;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3703;Guido Fubini;T1809;4;1930;1940;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3704;Enrico Fermi;T1807;7;1930;1950;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3705;Alexandros Papagos;T1504;3;1930;1955;small_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3706;Fevzi Cakmak;T3508;5;1930;1941;large_unit_tactics;centralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3707;Alexander Vasilevsky;T3707;7;1940;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3708;Ares Design Bureau;T3708;5;1930;1970;mechanics;artillery;technical_efficiency;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3709;Cantieri Aeronautici e Navali Triestini;T3709;4;1930;1970;aeronautics;electronics;technical_efficiency;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3710;People's Railway Services;T1503;5;1930;1970;industrial_engineering;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3711;Conon Design Bureau;T3711;4;1930;1970;naval_engineering;technical_efficiency;naval_artillery;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3712;Komnenos Factories;T3712;6;1930;1970;mechanics;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3713;Hephaestus Factory Design Bureau;T3713;5;1930;1970;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3714;Chelidon Design Bureau;T3714;5;1930;1970;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3715;Poseidon Naval Academy;T3509;6;1930;1970;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3716;Dusan Simovic;T3809;4;1930;1970;bomber_tactics;centralized_execution;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3717;Alexander A. Novikov;T3717;6;1940;1970;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3718;Sarigiannis Aircraft Designs;T3718;5;1930;1970;aeronautics;technical_efficiency;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3719;Igor Tamm;T3719;6;1945;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3720;Gaetano Arturo Crocco;T1800;6;1930;1968;rocketry;mathematics;aeronautics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3721;Athena Arsenal;T3812;4;1930;1970;artillery;general_equipment;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3722;People's Petroleum Company;T6100;5;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3723;Helios Institute for Space Applications;spacegre;6;1955;2020;rocketry;technical_efficiency;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
