U05;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
90000;Agua Santa Nitrate Railways;T5100;3;1930;1970;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90001;Balfour, Williamson & Co.;T5101;3;1930;1970;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90002;Campbell Outram y Cie.;T5102;3;1930;1970;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90003;Compañia Minera e Industrial de Chile;T5103;4;1930;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90004;CORFO;T5104;4;1930;1970;industrial_engineering;general_equipment;management;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90005;ENDESA;T5105;2;1930;1970;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90006;Escuela Militar;T5106;4;1930;1970;combined_arms_focus;small_unit_tactics;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90007;Transandine Construction Company;T5107;4;1930;1970;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90009;C.J. de la Motte du Portail;T5109;3;1930;1970;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90010;Francisco O'Ryan Orrego;T5110;4;1938;1946;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90011;Diego Aracena;T5111;3;1938;1960;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90012;Marmaduke Grove;T5112;5;1937;1960;fighter_tactics;piloting;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90013;E. Novoa Fuentes;T5113;3;1930;1942;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90014;Carlos Fuentes Rabe;T5114;4;1938;1960;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90015;Lisbon Dockyard;T2800;4;1930;1970;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90016;Oficinas Gerais de Material Aeronáutico;T2801;3;1930;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90017;Arsenal do Alfeite;T2802;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90018;Caminhos de Ferro Portugueses;T2803;5;1930;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90019;José Norton de Matos;T2804;2;1930;1938;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90020;Francisco Soares;T2805;4;1930;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90021;Oficinas Gerais de Material de Engenharia;T2806;3;1930;1970;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90022;Fábrica Militar de Santa Clara;T2807;3;1930;1970;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90023;Escola Naval;T2808;3;1930;1970;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90024;Academia da Força Aérea;T2809;3;1930;1970;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EOF;x
